,station1,station2,station3,station4,station5,station6,station7,station8,station9,station10,station11,station12,station13,station14
2019/5/1 6:40,0,8,2,0,1,0,0,2,6,0,2,1,1,11
2019/5/1 6:45,1,5,1,0,1,0,0,1,7,2,4,0,2,9
2019/5/1 6:50,1,5,3,0,1,0,0,0,8,1,4,1,2,14
2019/5/1 6:55,1,4,4,0,3,0,1,0,4,0,0,1,3,10
2019/5/1 7:00,1,6,2,2,1,2,2,0,2,1,1,0,1,8
2019/5/1 7:05,2,7,1,1,2,0,1,0,5,0,0,2,1,11
2019/5/1 7:10,1,7,2,1,1,0,2,0,2,0,0,1,0,7
2019/5/1 7:15,3,7,5,1,2,0,0,1,5,1,2,2,0,6
2019/5/1 7:20,3,3,2,0,0,1,1,0,2,0,0,2,0,7
2019/5/1 7:25,0,1,2,0,0,1,1,0,2,0,1,1,2,10
2019/5/1 7:30,0,1,2,0,0,1,3,0,4,0,0,0,1,13
2019/5/1 7:35,3,5,2,0,2,0,2,1,1,0,1,4,0,17
2019/5/1 7:40,0,3,4,1,1,0,3,1,3,0,0,1,1,9
2019/5/1 7:45,2,5,4,0,0,3,4,0,1,0,5,3,1,7
2019/5/1 7:50,1,3,3,0,0,0,1,0,2,0,1,3,1,7
2019/5/1 7:55,2,5,6,0,0,1,2,0,4,0,4,1,0,7
2019/5/1 8:00,4,3,3,0,0,1,2,1,3,0,2,1,2,7
2019/5/1 8:05,1,2,2,0,1,1,2,0,4,0,0,0,0,14
2019/5/1 8:10,2,2,3,0,0,1,2,0,1,0,0,0,1,6
2019/5/1 8:15,0,3,1,0,1,0,0,0,1,0,1,2,0,14
2019/5/1 8:20,3,3,1,1,1,0,1,1,1,0,1,0,3,8
2019/5/1 8:25,1,6,4,0,0,2,2,1,4,0,2,1,1,5
2019/5/1 8:30,2,1,3,0,0,0,1,0,4,0,0,3,0,8
2019/5/1 8:35,2,1,2,0,1,0,1,0,0,1,1,1,0,9
2019/5/1 8:40,1,1,1,1,0,0,2,0,2,0,2,1,1,5
2019/5/1 8:45,0,3,3,0,0,0,0,0,2,1,2,2,1,7
2019/5/1 8:50,1,6,5,0,0,0,1,0,8,0,2,4,0,8
2019/5/1 8:55,4,4,2,0,1,1,0,1,3,0,2,0,0,8
2019/5/1 9:00,3,5,0,0,0,0,1,1,3,0,3,3,2,9
2019/5/1 9:05,2,6,1,0,0,0,0,0,1,0,0,1,0,3
2019/5/1 9:10,0,6,1,0,0,1,0,1,1,0,0,2,0,7
2019/5/1 9:15,0,5,0,1,0,0,0,0,2,1,2,0,1,8
2019/5/1 9:20,2,1,2,0,1,1,0,0,0,0,0,2,1,6
2019/5/1 9:25,2,5,1,0,1,1,0,1,2,0,3,1,0,2
2019/5/1 9:30,1,2,2,2,0,0,1,0,1,0,2,2,1,7
2019/5/1 9:35,1,2,3,0,0,0,1,0,3,0,1,1,2,8
2019/5/1 9:40,0,5,1,0,0,0,0,0,1,0,1,2,0,4
2019/5/1 9:45,0,2,0,0,1,0,3,0,4,0,1,1,2,8
2019/5/1 9:50,1,7,3,1,0,0,0,2,1,1,2,1,2,9
2019/5/1 9:55,1,0,2,0,0,0,0,0,0,1,0,1,3,4
2019/5/1 10:00,1,6,2,1,0,0,2,1,1,0,1,1,1,11
2019/5/1 10:05,1,5,1,1,1,0,4,0,1,1,0,2,1,2
2019/5/1 10:10,1,2,1,0,1,0,2,2,2,1,3,2,0,7
2019/5/1 10:15,1,1,1,0,1,1,0,1,1,0,1,1,1,8
2019/5/1 10:20,1,2,3,0,1,1,0,0,2,0,1,0,1,6
2019/5/1 10:25,0,0,2,0,0,1,1,1,1,2,2,1,0,10
2019/5/1 10:30,1,4,2,0,0,1,4,0,1,1,1,4,2,5
2019/5/1 10:35,1,2,0,0,0,1,0,0,1,1,0,2,0,9
2019/5/1 10:40,1,2,2,0,0,0,2,0,3,0,0,1,0,3
2019/5/1 10:45,3,5,4,0,1,1,0,1,1,0,2,1,1,9
2019/5/1 10:50,3,3,1,0,0,0,0,0,0,0,2,3,0,7
2019/5/1 10:55,0,3,2,0,1,1,0,0,0,0,2,1,1,2
2019/5/1 11:00,0,2,1,0,1,1,0,0,3,3,1,1,0,13
2019/5/1 11:05,1,4,0,0,0,0,0,2,3,1,1,0,1,7
2019/5/1 11:10,3,2,2,0,1,0,1,2,0,0,1,2,2,5
2019/5/1 11:15,2,2,3,0,0,0,0,1,1,1,1,0,0,4
2019/5/1 11:20,2,2,1,0,0,0,1,0,1,1,3,0,0,9
2019/5/1 11:25,1,7,1,0,0,1,2,1,1,1,2,2,0,7
2019/5/1 11:30,1,3,1,0,0,0,0,0,1,0,1,2,0,9
2019/5/1 11:35,0,1,5,0,0,1,0,0,0,0,1,3,1,10
2019/5/1 11:40,0,3,3,0,0,1,0,1,1,0,1,0,1,13
2019/5/1 11:45,1,6,5,0,0,2,2,1,1,0,4,3,0,7
2019/5/1 11:50,0,1,2,0,0,2,0,0,1,0,1,5,2,12
2019/5/1 11:55,2,1,1,1,1,0,0,0,2,1,3,0,0,8
2019/5/1 12:00,0,2,4,0,0,1,1,0,0,1,0,2,1,8
2019/5/1 12:05,2,0,0,1,1,1,1,2,2,0,2,5,0,11
2019/5/1 12:10,2,4,2,0,1,1,0,1,0,1,0,2,0,11
2019/5/1 12:15,1,1,2,0,2,0,0,0,1,1,1,1,0,14
2019/5/1 12:20,1,1,3,0,1,1,3,0,1,2,0,2,0,10
2019/5/1 12:25,3,4,0,0,1,0,3,1,2,0,0,2,1,8
2019/5/1 12:30,0,1,1,1,0,0,1,0,1,0,3,1,1,15
2019/5/1 12:35,4,3,2,0,0,0,0,0,3,1,2,0,0,13
2019/5/1 12:40,5,1,1,0,1,0,0,1,0,0,1,1,0,10
2019/5/1 12:45,5,2,3,0,0,0,0,0,3,0,3,1,1,15
2019/5/1 12:50,0,3,1,0,0,0,0,0,0,2,2,2,0,14
2019/5/1 12:55,2,4,4,0,1,1,1,0,0,0,2,0,0,15
2019/5/1 13:00,2,2,4,0,0,0,0,0,0,0,3,1,1,22
2019/5/1 13:05,1,2,2,0,0,0,1,1,1,0,0,1,0,7
2019/5/1 13:10,4,3,3,0,0,1,0,2,1,1,1,6,0,15
2019/5/1 13:15,3,0,0,0,1,0,0,1,2,0,2,1,0,8
2019/5/1 13:20,1,1,3,0,1,2,0,0,4,1,0,1,0,9
2019/5/1 13:25,0,2,4,0,0,1,0,0,2,0,2,1,0,13
2019/5/1 13:30,2,3,6,0,1,1,0,1,1,1,2,0,1,11
2019/5/1 13:35,3,4,1,0,0,2,1,0,1,0,0,0,0,15
2019/5/1 13:40,5,7,5,0,1,0,3,1,3,1,0,2,1,10
2019/5/1 13:45,0,4,2,0,0,0,0,2,1,0,0,2,0,12
2019/5/1 13:50,1,3,0,0,0,1,1,0,3,0,3,1,1,11
2019/5/1 13:55,1,4,0,1,0,3,2,0,1,0,5,2,0,10
2019/5/1 14:00,3,4,2,0,1,0,0,0,0,1,5,0,0,12
2019/5/1 14:05,4,1,2,0,0,2,0,0,1,0,2,1,0,3
2019/5/1 14:10,2,3,0,1,0,0,1,0,0,2,1,2,4,15
2019/5/1 14:15,2,12,0,0,2,2,0,0,0,0,1,2,2,7
2019/5/1 14:20,4,7,2,0,1,3,1,1,1,2,4,4,1,6
2019/5/1 14:25,0,2,3,0,0,1,0,1,0,0,1,2,0,10
2019/5/1 14:30,0,4,5,0,2,0,1,1,0,0,0,0,0,5
2019/5/1 14:35,0,11,3,0,0,2,0,0,2,0,1,1,0,7
2019/5/1 14:40,2,3,4,0,1,3,1,0,4,2,0,3,1,9
2019/5/1 14:45,0,4,4,1,0,0,1,0,1,2,3,1,1,8
2019/5/1 14:50,4,5,4,0,1,1,2,1,1,1,0,1,0,12
2019/5/1 14:55,1,6,2,0,0,0,1,4,3,0,0,1,1,12
2019/5/1 15:00,1,4,0,0,0,0,0,0,5,0,0,2,1,18
2019/5/1 15:05,1,3,0,0,0,1,3,0,4,0,0,1,0,8
2019/5/1 15:10,3,3,2,0,0,2,4,1,1,1,2,1,0,11
2019/5/1 15:15,2,3,4,0,1,2,3,0,2,0,1,4,0,22
2019/5/1 15:20,3,6,0,2,0,1,0,1,2,0,1,2,0,12
2019/5/1 15:25,4,3,0,1,0,1,1,1,0,0,2,4,1,11
2019/5/1 15:30,3,1,3,0,1,0,1,2,5,0,3,0,1,6
2019/5/1 15:35,1,5,5,0,1,0,1,0,2,0,2,0,1,7
2019/5/1 15:40,2,4,1,0,0,1,2,0,1,0,2,3,0,9
2019/5/1 15:45,0,1,1,0,0,1,2,3,1,0,1,0,1,6
2019/5/1 15:50,2,2,3,0,0,0,1,1,0,0,3,0,0,4
2019/5/1 15:55,0,2,1,0,0,3,0,1,0,0,3,0,3,8
2019/5/1 16:00,2,5,2,0,1,2,3,1,2,1,3,1,3,8
2019/5/1 16:05,3,2,2,0,1,1,0,2,0,0,1,4,1,9
2019/5/1 16:10,2,4,2,0,1,2,1,0,0,0,0,3,1,11
2019/5/1 16:15,5,4,1,1,3,0,1,1,4,0,1,0,0,7
2019/5/1 16:20,2,3,3,0,2,0,1,0,1,0,0,3,3,6
