,station1,station2,station3,station4,station5,station6,station7,station8,station9,station10,station11,station12,station13,station14
2019/5/10 12:40,2,3,8,3,2,2,3,2,2,0,5,1,0,20
2019/5/10 12:45,5,10,9,4,2,1,2,2,2,1,3,0,2,25
2019/5/10 12:50,3,6,7,0,2,7,2,0,1,0,2,4,0,20
2019/5/10 12:55,2,5,7,0,0,1,1,0,0,1,3,3,2,21
2019/5/10 13:00,1,9,4,2,1,1,1,1,2,1,0,2,1,17
2019/5/10 13:05,2,2,5,0,3,0,1,0,3,1,0,4,1,22
2019/5/10 13:10,2,9,7,2,2,0,2,1,3,0,1,2,1,24
2019/5/10 13:15,5,10,6,0,2,3,1,1,2,0,3,3,3,18
2019/5/10 13:20,7,4,7,1,2,1,0,0,1,1,1,6,1,20
2019/5/10 13:25,5,6,8,2,0,2,2,0,2,0,0,0,0,17
2019/5/10 13:30,5,12,9,2,1,4,1,1,0,1,2,0,1,22
2019/5/10 13:35,3,6,7,2,0,5,4,3,2,2,2,0,0,20
2019/5/10 13:40,7,7,3,4,2,3,4,1,1,0,0,0,0,15
2019/5/10 13:45,4,9,7,1,0,2,2,0,4,0,0,0,3,18
2019/5/10 13:50,5,6,7,0,1,4,2,0,3,1,2,2,1,17
2019/5/10 13:55,4,11,5,0,1,1,0,0,2,0,1,1,1,22
2019/5/10 14:00,3,5,6,0,2,1,0,3,1,1,0,1,1,10
2019/5/10 14:05,6,8,11,2,0,1,2,4,2,1,2,1,1,15
2019/5/10 14:10,0,7,8,3,1,3,1,1,1,1,2,1,1,11
2019/5/10 14:15,4,3,6,2,1,5,2,0,1,0,1,3,2,19
2019/5/10 14:20,3,6,8,1,2,1,0,3,0,1,1,3,1,15
2019/5/10 14:25,3,8,4,3,2,0,4,3,1,0,1,1,0,16
2019/5/10 14:30,1,4,8,1,3,1,1,1,1,0,4,4,0,18
2019/5/10 14:35,3,5,11,3,3,2,3,1,4,0,1,4,0,21
2019/5/10 14:40,3,6,6,3,4,2,1,2,2,0,1,6,0,22
2019/5/10 14:45,2,6,13,1,3,1,1,1,2,1,3,0,1,20
2019/5/10 14:50,1,7,4,1,4,2,3,0,0,3,1,3,0,23
2019/5/10 14:55,3,6,10,1,4,2,1,2,1,3,1,3,4,21
2019/5/10 15:00,3,7,12,1,1,4,3,2,0,1,2,4,2,21
2019/5/10 15:05,6,10,4,0,2,3,1,0,3,1,1,1,0,22
2019/5/10 15:10,3,6,7,1,1,2,4,0,4,1,1,2,2,19
2019/5/10 15:15,5,4,11,0,2,4,4,0,2,0,1,1,3,22
2019/5/10 15:20,5,6,8,2,1,4,2,1,2,2,2,2,3,26
2019/5/10 15:25,3,8,11,1,2,2,0,4,4,1,0,3,2,21
2019/5/10 15:30,5,5,8,0,1,2,1,0,1,2,0,1,4,18
2019/5/10 15:35,3,1,8,0,1,2,3,2,1,2,4,1,0,12
2019/5/10 15:40,3,7,10,2,1,1,3,3,0,2,1,0,2,23
2019/5/10 15:45,4,4,7,1,2,3,3,2,1,3,2,0,1,20
2019/5/10 15:50,7,5,8,1,1,3,3,0,1,0,2,1,1,17
2019/5/10 15:55,6,6,5,0,3,0,5,2,3,2,3,3,3,13
2019/5/10 16:00,3,9,7,1,2,3,2,0,3,2,0,1,1,16
2019/5/10 16:05,1,8,8,5,2,2,3,4,0,2,3,4,0,23
2019/5/10 16:10,1,11,7,2,3,2,1,2,2,2,0,2,1,15
2019/5/10 16:15,3,10,9,0,2,2,3,2,2,2,3,1,5,21
2019/5/10 16:20,6,5,8,1,1,3,0,4,1,1,1,0,1,17
2019/5/10 16:25,3,4,6,1,4,4,3,1,1,0,3,3,0,22
2019/5/10 16:30,6,3,7,3,2,5,2,2,7,2,3,0,3,17
2019/5/10 16:35,5,5,7,1,2,2,4,2,2,0,1,7,1,19
2019/5/10 16:40,3,6,13,2,2,0,3,1,3,0,3,4,0,23
2019/5/10 16:45,7,9,9,1,4,4,2,3,2,1,2,2,1,15
2019/5/10 16:50,4,8,6,1,0,3,2,2,3,2,2,4,0,23
2019/5/10 16:55,4,6,7,1,2,3,2,1,1,0,1,3,0,18
2019/5/10 17:00,4,5,8,0,5,4,0,2,1,1,4,0,1,18
2019/5/10 17:05,2,8,12,2,2,2,2,2,2,0,4,3,2,21
2019/5/10 17:10,3,4,4,1,0,1,5,2,1,2,4,2,1,18
2019/5/10 17:15,9,12,6,1,1,1,0,2,2,1,7,3,0,27
2019/5/10 17:20,6,5,5,0,4,3,2,2,5,1,2,0,0,21
2019/5/10 17:25,4,7,7,1,1,3,3,0,4,1,2,3,1,15
2019/5/10 17:30,3,7,12,0,1,1,2,3,1,1,1,1,4,22
2019/5/10 17:35,2,5,10,1,0,1,3,2,2,0,2,3,0,21
2019/5/10 17:40,4,5,9,1,2,2,6,0,5,0,2,1,3,18
2019/5/10 17:45,3,11,2,0,0,0,3,2,1,0,1,1,1,16
2019/5/10 17:50,2,4,9,7,2,0,2,1,3,0,1,3,1,22
2019/5/10 17:55,5,10,8,1,6,4,2,2,1,0,1,1,7,22
2019/5/10 18:00,1,4,1,3,1,2,0,2,1,0,0,2,3,26
2019/5/10 18:05,2,5,9,2,0,3,2,0,0,1,2,3,3,27
2019/5/10 18:10,6,10,7,1,2,1,4,1,5,0,4,0,1,18
2019/5/10 18:15,2,7,5,1,1,1,1,1,1,0,5,5,0,14
2019/5/10 18:20,2,11,7,1,2,4,1,1,2,0,2,3,2,15
2019/5/10 18:25,5,6,7,1,2,2,0,0,3,0,1,0,3,20
2019/5/10 18:30,3,7,5,0,1,1,2,2,3,0,2,1,1,9
2019/5/10 18:35,1,4,5,2,0,1,0,0,2,0,1,2,1,14
2019/5/10 18:40,2,13,8,1,1,3,2,1,3,1,3,6,2,16
2019/5/10 18:45,5,8,7,1,1,3,1,0,2,1,3,3,2,19
2019/5/10 18:50,1,11,2,0,4,1,1,0,1,1,0,3,3,19
2019/5/10 18:55,1,10,5,0,0,5,0,1,1,0,0,5,0,20
2019/5/10 19:00,3,9,1,0,2,3,1,1,4,2,3,0,2,22
2019/5/10 19:05,6,7,8,2,1,0,0,0,4,2,0,2,2,16
2019/5/10 19:10,3,9,7,0,1,1,2,0,4,0,1,2,1,21
2019/5/10 19:15,5,5,6,4,1,0,0,1,3,0,0,2,2,15
2019/5/10 19:20,9,5,6,1,1,0,0,0,2,1,1,5,2,21
2019/5/10 19:25,4,5,6,1,3,4,0,0,3,0,1,2,1,18
2019/5/10 19:30,3,8,7,1,2,0,1,1,2,1,1,5,3,18
2019/5/10 19:35,1,10,6,0,2,1,3,2,2,2,0,3,2,24
2019/5/10 19:40,3,2,6,0,1,2,1,1,2,1,1,0,2,24
2019/5/10 19:45,2,5,3,2,0,2,1,0,2,1,1,2,1,20
2019/5/10 19:50,2,8,6,1,1,0,2,0,1,0,1,2,1,21
2019/5/10 19:55,3,5,3,0,2,1,2,1,2,1,2,1,1,16
2019/5/10 20:00,2,2,5,2,1,1,0,0,3,1,1,2,1,22
2019/5/10 20:05,5,5,9,0,1,2,1,0,2,0,0,2,1,21
2019/5/10 20:10,0,5,6,1,2,1,1,0,0,0,2,0,0,19
2019/5/10 20:15,2,7,3,0,1,0,3,1,3,0,3,2,1,14
2019/5/10 20:20,5,5,5,0,2,0,3,0,0,0,3,5,5,18
2019/5/10 20:25,2,7,4,0,1,1,1,3,5,0,1,0,0,19
2019/5/10 20:30,4,9,6,1,1,4,1,1,3,0,4,2,3,15
2019/5/10 20:35,1,8,3,1,2,1,0,2,2,0,2,2,1,29
2019/5/10 20:40,2,7,4,3,3,0,2,1,5,1,2,3,0,21
2019/5/10 20:45,2,7,3,0,3,2,1,1,4,0,0,2,1,32
2019/5/10 20:50,0,5,2,1,2,1,3,1,2,0,1,3,0,19
2019/5/10 20:55,3,3,5,0,2,0,3,0,4,0,1,3,3,29
2019/5/10 21:00,6,2,3,1,0,1,7,1,6,0,1,2,4,21
2019/5/10 21:05,2,5,3,0,1,2,6,1,0,0,0,1,3,26
2019/5/10 21:10,1,3,4,1,3,0,2,0,4,2,2,1,2,20
2019/5/10 21:15,4,7,8,0,4,2,2,0,1,0,2,2,2,23
2019/5/10 21:20,1,8,2,0,1,1,0,1,7,0,1,1,1,19
2019/5/10 21:25,2,9,2,0,2,1,3,1,6,0,0,2,3,18
2019/5/10 21:30,2,5,1,0,1,0,2,1,7,1,0,0,2,21
2019/5/10 21:35,5,7,4,0,4,4,2,1,7,0,2,2,1,15
2019/5/10 21:40,2,6,2,0,0,2,3,3,2,1,1,1,2,18
2019/5/10 21:45,5,6,0,1,3,0,1,2,5,0,1,0,4,21
2019/5/10 21:50,3,8,5,0,1,2,0,0,2,1,1,0,0,21
2019/5/10 21:55,3,4,4,0,1,1,2,1,5,0,0,1,5,14
2019/5/10 22:00,1,4,3,0,0,1,3,2,5,0,1,2,3,16
2019/5/10 22:05,1,3,3,0,2,1,0,0,3,0,1,5,0,10
2019/5/10 22:10,1,4,5,1,4,0,2,1,5,1,2,1,2,13
2019/5/10 22:15,2,1,11,1,3,3,2,0,6,0,1,2,2,16
2019/5/10 22:20,6,5,9,1,0,1,1,2,3,0,1,0,0,11
2019/5/10 22:25,3,7,6,0,1,2,2,2,4,0,1,0,1,13
2019/5/10 22:30,1,6,4,2,0,3,2,0,7,1,1,0,4,17
2019/5/10 22:35,2,5,4,1,1,1,0,2,6,1,2,1,1,13
2019/5/10 22:40,3,1,5,1,0,1,2,1,3,0,1,0,0,19
2019/5/10 22:45,2,5,7,1,2,0,3,1,7,0,0,1,0,10
2019/5/10 22:50,3,7,6,0,2,1,0,0,5,0,3,1,1,25
2019/5/10 22:55,1,5,6,0,2,1,1,0,6,0,2,1,0,21
2019/5/10 23:00,3,5,4,0,1,3,4,0,6,0,1,2,0,13
2019/5/10 23:05,5,10,9,0,3,1,6,1,9,0,2,0,0,17
2019/5/10 23:10,4,3,9,0,0,0,3,2,6,1,0,1,0,14
2019/5/10 23:15,7,7,3,0,2,1,1,0,6,0,1,1,3,15
2019/5/10 23:20,4,6,5,1,1,2,6,0,5,0,1,4,0,15
2019/5/10 23:25,5,5,2,1,1,1,3,0,6,0,2,2,1,6
2019/5/10 23:30,2,6,1,1,2,2,6,2,7,0,1,1,0,15
2019/5/10 23:35,1,4,3,2,1,0,2,0,12,0,1,1,1,17
2019/5/10 23:40,3,5,3,1,1,2,3,0,11,1,1,0,2,15
2019/5/10 23:45,4,5,3,0,5,1,4,1,8,0,0,0,0,8
2019/5/10 23:50,1,13,5,0,0,1,2,4,9,2,4,0,0,11
2019/5/10 23:55,6,6,5,0,1,0,3,0,10,1,1,3,2,8
2019/5/11 0:00,2,5,1,1,1,0,2,1,7,2,2,0,1,9
2019/5/11 0:05,3,2,5,0,1,1,3,0,5,0,0,0,0,7
2019/5/11 0:10,3,5,3,0,1,0,1,0,10,0,0,0,0,9
2019/5/11 0:15,1,6,4,0,1,1,4,0,6,0,0,4,2,12
2019/5/11 0:20,1,4,1,0,3,1,4,0,6,0,1,2,1,18
2019/5/11 0:25,2,8,2,0,4,0,2,1,2,0,0,1,1,11
2019/5/11 0:30,7,7,3,0,0,2,3,1,9,0,3,1,0,10
2019/5/11 0:35,1,9,0,1,0,3,5,0,10,0,0,0,0,11
2019/5/11 0:40,1,7,0,1,3,3,3,0,6,1,1,0,0,9
2019/5/11 0:45,2,5,3,0,1,0,3,2,4,0,0,0,1,10
2019/5/11 0:50,3,6,4,0,2,0,0,0,9,0,1,1,0,10
2019/5/11 0:55,3,8,2,1,3,3,1,0,9,0,2,0,1,8
2019/5/11 1:00,3,7,1,0,0,3,3,0,3,0,3,0,3,6
2019/5/11 1:05,1,6,3,1,0,1,2,0,4,0,1,2,1,8
2019/5/11 1:10,2,5,0,0,1,0,0,0,8,0,2,0,1,9
2019/5/11 1:15,2,9,2,0,0,3,0,0,4,0,1,0,4,15
2019/5/11 1:20,2,4,3,0,2,0,1,1,3,0,2,1,3,14
2019/5/11 1:25,6,6,5,0,1,0,0,0,6,0,1,0,0,13
2019/5/11 1:30,1,5,1,0,0,0,4,0,9,0,2,0,0,15
2019/5/11 1:35,2,8,2,1,0,1,1,1,8,1,0,0,0,15
2019/5/11 1:40,1,6,2,1,0,0,0,0,10,0,2,0,0,7
2019/5/11 1:45,0,4,1,0,0,0,2,0,7,2,1,1,0,5
2019/5/11 1:50,0,8,2,0,2,0,1,1,11,0,2,0,0,6
2019/5/11 1:55,4,4,2,0,0,3,2,1,12,0,0,0,1,15
2019/5/11 2:00,2,6,1,0,0,1,2,0,7,1,0,1,0,10
2019/5/11 2:05,1,7,3,0,1,2,0,0,6,0,1,2,1,6
2019/5/11 2:10,0,6,3,1,0,3,0,0,6,0,1,2,1,7
2019/5/11 2:15,0,6,1,0,0,1,2,0,8,0,0,0,1,7
2019/5/11 2:20,0,2,2,0,0,0,1,0,4,1,0,0,1,5
2019/5/11 2:25,5,4,1,0,2,0,1,0,8,0,1,1,0,6
2019/5/11 2:30,0,4,3,1,0,1,0,0,8,1,3,0,1,3
2019/5/11 2:35,2,5,4,0,0,1,2,0,7,1,2,1,1,7
2019/5/11 2:40,0,7,3,0,1,1,2,0,8,0,2,0,1,9
2019/5/11 2:45,1,2,3,0,0,0,0,0,7,0,1,1,2,8
2019/5/11 2:50,4,1,4,1,2,0,2,0,8,0,1,0,0,8
2019/5/11 2:55,1,3,2,1,0,0,0,0,6,1,2,0,1,6
2019/5/11 3:00,1,4,2,0,0,0,4,0,10,1,1,0,0,7
2019/5/11 3:05,1,4,2,0,2,0,2,0,6,0,0,0,0,6
2019/5/11 3:10,2,3,2,0,0,1,1,0,15,0,0,3,0,8
2019/5/11 3:15,3,3,4,0,0,2,3,0,10,1,0,1,0,5
2019/5/11 3:20,1,0,1,0,1,0,1,0,5,0,0,0,0,10
2019/5/11 3:25,0,3,2,0,0,0,2,0,7,0,1,0,0,11
2019/5/11 3:30,1,4,2,0,1,1,2,0,6,0,1,0,0,7
2019/5/11 3:35,2,4,5,0,0,2,3,0,5,0,3,0,0,7
2019/5/11 3:40,2,6,1,0,0,0,0,1,7,0,0,1,1,10
2019/5/11 3:45,2,5,3,0,1,0,0,0,10,1,4,1,0,9
2019/5/11 3:50,3,4,5,0,0,1,1,0,9,0,1,0,0,5
2019/5/11 3:55,2,1,4,1,0,0,2,0,5,1,1,0,1,8
2019/5/11 4:00,0,4,1,0,0,0,3,0,3,0,0,0,0,11
2019/5/11 4:05,2,1,2,1,1,1,1,0,8,1,1,0,1,7
2019/5/11 4:10,0,1,3,0,1,0,4,0,13,0,2,0,0,16
2019/5/11 4:15,2,1,3,1,1,1,6,0,5,1,2,0,0,6
2019/5/11 4:20,3,5,1,0,0,0,4,0,6,1,1,2,0,5
2019/5/11 4:25,1,8,1,0,0,1,0,0,8,0,1,1,1,9
2019/5/11 4:30,1,4,3,0,0,1,1,2,5,0,2,0,1,13
2019/5/11 4:35,3,2,1,0,0,3,1,0,5,0,0,1,1,6
2019/5/11 4:40,0,5,3,1,0,2,0,0,4,0,2,0,1,6
2019/5/11 4:45,1,2,3,0,0,3,1,1,6,0,0,2,0,3
2019/5/11 4:50,1,5,2,0,0,2,0,0,6,1,0,0,2,6
2019/5/11 4:55,1,8,4,0,1,0,1,0,5,1,1,1,2,6
2019/5/11 5:00,0,5,6,0,0,0,3,0,5,1,1,0,1,9
2019/5/11 5:05,3,2,5,0,1,0,1,1,3,0,0,1,0,10
2019/5/11 5:10,1,6,5,0,0,1,1,3,5,0,0,0,1,7
2019/5/11 5:15,2,6,3,1,1,0,2,1,5,0,0,1,1,9
2019/5/11 5:20,2,3,1,0,0,0,1,1,4,1,1,0,0,10
2019/5/11 5:25,2,4,4,1,0,0,0,1,6,0,0,3,0,9
2019/5/11 5:30,1,4,2,0,0,1,0,0,6,1,0,0,0,14
2019/5/11 5:35,2,3,2,0,1,2,2,0,7,0,2,1,0,13
2019/5/11 5:40,0,6,6,0,0,0,1,0,6,1,1,1,0,21
2019/5/11 5:45,2,1,4,0,1,1,1,0,5,0,0,3,0,12
2019/5/11 5:50,3,2,2,1,0,0,1,0,3,0,2,1,2,9
2019/5/11 5:55,0,6,5,1,2,1,0,0,7,1,0,0,1,13
2019/5/11 6:00,1,8,4,1,0,2,2,0,7,2,0,0,0,9
2019/5/11 6:05,2,4,4,1,0,2,1,1,7,2,0,0,1,14
2019/5/11 6:10,0,5,2,0,1,0,1,0,4,0,3,1,0,14
2019/5/11 6:15,5,3,6,0,4,1,0,0,7,1,1,1,0,11
2019/5/11 6:20,0,9,4,0,0,1,1,1,6,1,0,2,0,13
2019/5/11 6:25,2,2,3,0,0,1,0,1,4,2,1,2,0,16
2019/5/11 6:30,0,4,3,3,2,2,1,1,6,2,0,0,3,14
2019/5/11 6:35,2,5,2,4,0,0,2,0,6,1,0,1,0,11
2019/5/11 6:40,5,2,3,1,1,1,0,0,6,1,2,1,0,18
2019/5/11 6:45,4,5,3,0,0,1,1,0,8,1,4,1,2,17
2019/5/11 6:50,1,5,7,0,1,1,1,0,6,0,2,0,1,16
2019/5/11 6:55,3,4,0,1,1,2,8,1,7,0,1,0,1,11
2019/5/11 7:00,3,7,5,0,2,3,2,0,6,0,1,2,0,14
2019/5/11 7:05,4,8,9,0,0,2,1,1,2,1,2,3,1,15
2019/5/11 7:10,4,9,3,1,0,4,4,1,7,0,4,3,0,16
2019/5/11 7:15,1,6,6,1,2,3,2,0,6,0,4,0,2,6
2019/5/11 7:20,6,1,7,0,1,3,3,1,5,0,2,1,0,11
2019/5/11 7:25,1,3,3,0,0,3,1,2,1,1,1,1,1,14
2019/5/11 7:30,4,4,4,1,1,3,3,0,2,0,5,2,0,11
2019/5/11 7:35,4,8,7,1,1,2,2,0,3,0,6,1,1,9
2019/5/11 7:40,4,5,5,2,2,1,2,1,4,0,4,1,3,14
2019/5/11 7:45,3,2,4,0,2,4,2,1,6,0,5,2,1,15
2019/5/11 7:50,2,2,2,1,3,2,6,1,1,0,1,1,1,10
2019/5/11 7:55,1,3,5,1,0,4,1,0,2,0,2,3,2,12
2019/5/11 8:00,5,8,3,2,0,1,1,0,4,1,1,3,0,17
2019/5/11 8:05,3,6,3,1,3,1,2,0,4,1,1,4,0,12
2019/5/11 8:10,1,7,5,2,3,2,4,0,5,1,0,5,0,20
2019/5/11 8:15,5,6,5,2,2,5,3,0,6,2,4,2,0,14
2019/5/11 8:20,4,6,0,0,2,2,6,1,4,0,4,2,1,13
2019/5/11 8:25,1,7,5,1,3,5,2,1,3,1,3,5,0,14
2019/5/11 8:30,5,10,3,3,0,2,2,0,0,0,0,4,1,13
2019/5/11 8:35,5,7,5,2,1,2,0,1,4,1,0,2,2,9
2019/5/11 8:40,3,4,3,3,1,3,3,0,2,1,1,3,3,18
2019/5/11 8:45,3,7,1,2,4,3,1,0,3,0,3,1,2,11
2019/5/11 8:50,2,7,6,1,1,0,4,0,5,0,2,2,1,14
2019/5/11 8:55,3,6,5,2,3,2,0,1,3,1,2,1,3,15
2019/5/11 9:00,2,3,8,0,1,2,0,1,2,0,4,3,1,10
2019/5/11 9:05,2,3,4,1,2,4,2,0,3,1,2,3,0,12
2019/5/11 9:10,2,4,2,2,0,0,1,0,1,1,2,1,0,14
2019/5/11 9:15,2,9,4,0,0,1,2,1,3,0,2,3,3,11
2019/5/11 9:20,2,6,0,0,0,2,4,0,2,0,2,1,0,11
2019/5/11 9:25,6,10,3,0,1,1,1,2,2,0,1,2,1,16
2019/5/11 9:30,5,5,6,0,0,2,3,1,4,0,1,1,0,13
2019/5/11 9:35,3,10,11,0,2,0,2,4,2,1,1,0,1,16
2019/5/11 9:40,1,1,10,0,2,3,1,0,5,1,0,2,0,16
2019/5/11 9:45,3,6,6,0,1,0,1,1,2,0,0,2,2,15
2019/5/11 9:50,3,3,8,0,0,0,0,2,5,0,1,3,2,16
2019/5/11 9:55,3,7,4,1,1,3,0,2,5,0,0,4,0,16
2019/5/11 10:00,2,7,8,3,1,3,1,1,1,0,0,1,1,12
2019/5/11 10:05,6,7,7,0,2,1,2,0,1,1,0,1,1,14
2019/5/11 10:10,4,8,4,0,1,5,0,1,3,0,2,1,2,15
2019/5/11 10:15,3,7,4,0,4,1,2,2,6,1,2,2,0,13
2019/5/11 10:20,3,4,8,0,0,0,3,1,1,0,2,2,2,22
2019/5/11 10:25,4,4,3,0,1,3,0,1,2,1,2,5,1,17
2019/5/11 10:30,6,8,4,1,0,0,0,2,5,0,2,0,0,21
2019/5/11 10:35,2,7,7,2,0,3,2,0,5,1,1,4,1,17
2019/5/11 10:40,2,4,6,0,0,3,1,2,3,2,4,1,1,19
2019/5/11 10:45,1,8,5,2,1,0,0,3,7,1,5,3,0,15
2019/5/11 10:50,3,8,7,0,3,3,1,0,2,1,0,2,2,24
2019/5/11 10:55,6,4,8,0,0,1,2,2,1,0,3,0,2,17
2019/5/11 11:00,0,5,7,1,0,0,2,1,2,1,3,3,0,13
2019/5/11 11:05,0,3,10,2,0,2,3,1,2,1,1,1,0,20
2019/5/11 11:10,3,6,7,1,0,3,0,2,3,0,1,2,0,19
2019/5/11 11:15,2,6,4,4,1,6,2,0,3,2,3,2,1,20
2019/5/11 11:20,3,9,3,3,6,3,0,3,2,0,0,5,0,23
2019/5/11 11:25,3,11,7,3,0,3,2,1,5,0,0,3,2,21
2019/5/11 11:30,2,4,6,1,3,4,2,2,2,0,3,2,0,12
2019/5/11 11:35,2,12,6,3,0,3,1,1,1,1,4,4,1,25
2019/5/11 11:40,5,6,5,1,1,3,1,0,3,2,4,2,0,20
2019/5/11 11:45,4,6,7,0,0,3,1,2,4,0,1,1,0,13
2019/5/11 11:50,2,1,3,0,1,3,0,0,0,0,4,1,2,22
2019/5/11 11:55,3,8,5,1,0,3,3,2,2,0,2,5,0,14
2019/5/11 12:00,5,5,10,1,0,0,2,2,4,0,0,3,0,20
2019/5/11 12:05,8,9,5,0,0,4,1,1,3,1,0,0,1,17
2019/5/11 12:10,5,10,5,1,2,4,1,1,3,0,1,2,1,17
2019/5/11 12:15,6,7,2,1,2,3,0,0,1,0,1,1,1,22
2019/5/11 12:20,1,7,2,1,1,3,2,0,1,0,0,2,0,19
2019/5/11 12:25,5,6,3,2,3,4,1,0,3,0,2,0,1,19
2019/5/11 12:30,5,5,1,0,0,2,2,0,0,0,1,0,0,18
2019/5/11 12:35,9,11,5,1,0,3,0,1,5,0,1,0,1,21
2019/5/11 12:40,3,11,7,2,0,2,1,1,3,0,2,3,0,24
2019/5/11 12:45,1,9,3,2,0,3,2,0,2,0,1,2,3,27
2019/5/11 12:50,4,10,4,1,0,4,1,3,2,2,3,0,0,15
2019/5/11 12:55,4,7,2,0,2,4,0,3,6,1,2,1,2,19
2019/5/11 13:00,1,7,2,1,0,1,1,4,5,0,2,2,1,19
2019/5/11 13:05,2,9,7,3,0,3,3,0,1,1,3,2,1,18
2019/5/11 13:10,1,5,8,2,2,4,0,0,1,0,1,1,3,23
2019/5/11 13:15,3,3,5,2,1,2,1,1,2,1,0,3,1,15
2019/5/11 13:20,6,4,7,1,1,8,1,1,3,1,0,1,1,20
2019/5/11 13:25,3,8,5,1,4,3,5,3,2,1,4,0,2,19
2019/5/11 13:30,5,2,4,2,0,1,1,2,3,0,1,2,1,26
2019/5/11 13:35,7,4,6,1,0,1,3,2,1,0,2,0,3,15
2019/5/11 13:40,2,10,4,0,0,0,1,0,2,0,2,1,3,16
2019/5/11 13:45,2,4,5,2,3,3,3,4,2,3,0,3,0,20
2019/5/11 13:50,5,6,12,2,1,2,0,1,3,0,2,2,1,21
2019/5/11 13:55,3,5,5,0,2,5,3,1,3,2,1,1,3,17
2019/5/11 14:00,5,10,1,1,5,3,2,1,2,0,3,3,0,16
2019/5/11 14:05,5,7,5,1,1,3,2,3,1,0,1,1,2,15
2019/5/11 14:10,1,5,4,2,2,0,3,3,3,1,4,0,3,22
2019/5/11 14:15,2,7,8,0,1,2,1,0,0,2,0,3,0,14
2019/5/11 14:20,5,2,8,2,3,4,2,2,3,0,0,3,1,11
2019/5/11 14:25,4,8,6,0,2,2,2,3,2,0,1,1,1,19
2019/5/11 14:30,1,3,7,2,0,1,0,2,2,0,1,1,0,15
2019/5/11 14:35,5,6,7,1,2,0,1,0,2,0,2,2,2,18
2019/5/11 14:40,5,6,8,1,3,1,3,1,0,2,0,2,0,22
2019/5/11 14:45,3,6,7,1,2,2,3,0,3,1,1,3,1,15
2019/5/11 14:50,2,6,9,0,2,1,4,0,1,0,0,4,0,17
2019/5/11 14:55,3,5,10,1,3,0,1,1,1,0,0,1,1,15
2019/5/11 15:00,4,1,4,0,1,4,4,0,4,0,1,1,0,12
2019/5/11 15:05,2,8,3,0,2,1,3,1,3,0,0,3,0,11
2019/5/11 15:10,7,10,5,0,4,1,3,0,3,0,0,2,4,18
2019/5/11 15:15,1,7,7,3,2,3,0,2,1,0,3,1,0,21
2019/5/11 15:20,2,8,11,1,2,3,4,3,1,1,3,2,0,16
2019/5/11 15:25,2,4,10,0,3,2,3,1,0,1,3,0,1,10
2019/5/11 15:30,3,7,9,1,0,3,1,2,0,0,3,1,2,12
2019/5/11 15:35,3,6,10,2,1,3,0,1,4,1,3,4,1,18
2019/5/11 15:40,3,6,6,2,0,3,1,3,4,3,1,2,0,14
2019/5/11 15:45,5,6,4,0,2,4,0,2,1,1,1,2,1,14
2019/5/11 15:50,1,5,7,2,2,1,4,2,1,0,1,3,1,14
2019/5/11 15:55,1,3,4,0,2,3,2,0,0,0,1,5,2,16
2019/5/11 16:00,1,11,4,0,0,0,1,2,0,1,3,2,4,12
2019/5/11 16:05,2,6,5,1,3,0,2,1,7,1,3,1,0,16
2019/5/11 16:10,8,10,5,1,0,2,3,0,5,2,0,5,3,23
2019/5/11 16:15,3,7,3,0,5,1,2,0,4,0,2,3,2,18
2019/5/11 16:20,3,8,9,1,1,2,2,0,1,0,3,2,3,16
2019/5/11 16:25,1,5,4,1,2,2,1,0,3,1,2,2,4,24
2019/5/11 16:30,1,7,11,0,1,3,1,2,0,0,6,2,1,17
2019/5/11 16:35,2,11,6,0,4,1,1,0,0,0,3,3,2,22
2019/5/11 16:40,2,7,8,1,1,1,2,0,2,0,1,3,0,23
2019/5/11 16:45,5,6,3,1,1,2,3,1,2,1,1,3,0,14
2019/5/11 16:50,6,12,11,1,2,2,1,2,2,0,1,1,2,24
2019/5/11 16:55,2,5,4,0,0,2,2,2,0,0,1,3,0,25
2019/5/11 17:00,3,9,7,0,0,0,0,1,2,0,4,3,2,24
2019/5/11 17:05,2,6,7,0,0,2,1,1,1,0,2,0,2,21
2019/5/11 17:10,2,9,7,0,1,1,3,0,1,1,2,1,2,20
2019/5/11 17:15,4,7,7,0,2,1,4,1,4,1,1,0,3,23
2019/5/11 17:20,2,7,8,2,1,2,3,1,2,1,2,5,1,22
2019/5/11 17:25,2,2,2,0,2,3,1,2,1,1,3,1,0,22
2019/5/11 17:30,1,4,7,0,1,1,2,2,2,1,3,2,3,23
2019/5/11 17:35,4,6,7,0,3,3,1,2,3,3,2,3,2,22
2019/5/11 17:40,2,5,4,1,1,2,3,5,1,0,0,2,4,19
2019/5/11 17:45,3,6,5,1,1,2,4,2,1,0,1,3,0,29
2019/5/11 17:50,1,6,8,1,1,2,0,0,2,0,5,2,3,26
2019/5/11 17:55,2,9,11,0,2,2,1,1,3,0,5,1,1,25
2019/5/11 18:00,5,7,9,2,1,2,1,0,1,1,2,3,0,18
2019/5/11 18:05,2,8,4,1,1,0,0,0,3,0,1,2,0,16
2019/5/11 18:10,2,6,8,0,4,1,2,1,0,0,4,2,1,19
2019/5/11 18:15,2,4,10,0,2,0,1,1,1,0,2,2,2,15
2019/5/11 18:20,2,7,10,1,0,3,3,1,2,0,1,3,4,23
